['Region','Ratio_Crime_Policier','Ratio_Crime_Camera'],
['Pro',2.9407800694302635,64.57847533632287],
['Ile',6.992590822179732,90.57894736842105],
['Rhô',6.727134724857685,70.904],
['Lan',3.548354935194417,47.13907284768212],
['Nor',7.845673505798394,54.29012345679013],
['Aqu',6.962962962962963,112.8],
['Mid',17.00748502994012,493.95652173913044],
['Cen',6.664110429447852,46.223404255319146],
['Pic',5.903225806451613,38.93617021276596],
['Lor',5.509677419354839,33.82178217821782],
['Pay',11.993431855500821,173.9047619047619],
['Bre',7.9,143.1875],
['Als',5.143626570915619,49.39655172413793],
['Hau',6.6268939393939394,74.44680851063829],
['Bou',5.977220956719818,72.88888888888889],
['Poi',7.548469387755102,70.45238095238095],
['Bas',5.654088050314465,71.92],
['Auv',9.472222222222221,113.66666666666667],
['Cha',12.435483870967742,96.375],
['Fra',8.359116022099448,44.5],
['Lim',7.626168224299065,102.0],
