Pays;PIB
"Etats-unis";17947.000
"Chine";10982.829
"Japon";4123.258
"Allemagne";3357.614
"France";2421.560
"Inde";2090.706
"Italie";1815.757
"Bresil";1772.589
"Canada";1552.386
"Coree du sud";1376.868
"Russie";1324.734
"Australie";1223.887
"Espagne";1199.715
"Mexique";1144.334
"Indonesie";858.953
"Pays bas";738.419
"Turquie";733.642
"Suisse";664.603
"Arabie saoudite";653.219
"Argentine";585.623
"Taiwan";523.581
"Suede";492.618
"Nigeria";490.207
"Pologne";474.893
"Belgique";454.687
"Thailande";395.288
"Norvege";389.482
"Iran";387.611
"Autriche";374.124
"Emirats arabes unis";345.483
"Egypte";330.765
"Afrique du Sud";312.957
"Malaisie";296.219
"Israel";296.073
"Danemark";294.951
"Colombie";293.243
"Singapour";292.734
"Philippines";291.965
"Hong Kong";272.100
"Pakistan";269.971
"Chili";240.222
"Venezuela";239.572
"Irlande (pays)";238.031
"Finlande";229.671
"Algerie";214.200
"Bangladesh";214.200
"Portugal";199.077
"Grece";195.320
"Perou";192.141
"Viet nam";191.454
"Qatar";185.395
"tcheque republique";181.858
"Roumanie";177.315
"Kazakhstan";173.212
"Nouvelle zelande";173.248
"Irak";169.460
"Koweit";120.682
"Hongrie";120.636
"Maroc";103.142
"Angola";102.979
"Porto Rico";101.570
"Equateur";98.828
"Ukraine";90.524
"Slovaquie";86.625
"Soudan";83.612
"Sri Lanka";82.095
"Cuba";77.149
"dominicaine republique";67.492
"Birmanie";66.983
"Ouzbekistan";65.683
"Guatemala";63.911
"Ethiopie";61.629
"Kenya";61.405
"Oman";58.491
"Luxembourg (pays)";57.423
"Bielorussie";54.609
"Azerbaidjan";54.048
"Uruguay";53.794
"Costa Rica";52.898
"Panama";52.132
"Liban";51.168
"Bulgarie";48.957
"Croatie";48.850
"Macao";46.178
"Tanzanie";44.904
"Tunisie";43.581
"Slovenie";42.768
"Lituanie";41.267
"Congo republique democratique";38.873
"Libye";38.300
"Jordanie";37.620
"Yemen";36.852
"Serbie";36.513
"Ghana";36.039
"Turkmenistan";35.680
"Bolivie";33.210
"Cote divoire";31.172
"Bahrein";30.411
"Cameroun";28.478
"Paraguay";28.077
"Lettonie";27.048
"Salvador";25.766
"Ouganda";24.740
"Syrie";24.6
"Trinite et tobago";24.553
"Estonie";22.704
"Zambie";21.889
"Nepal";21.356
"Honduras";20.295
"Chypre (pays)";19.330
"Afghanistan";19.204
"Cambodge";18.155
"Islande";16.718
"Papouasie nouvelle guinee";16.090
"Bosnie herzegovine";15.794
"Mozambique";14.965
"Gabon";14.350
"Zimbabwe";14.269
"Georgie";14.007
"Jamaique";13.924
"Senegal";13.665
"Mali";13.066
"Botswana";12.860
"palestine";12.737
"Namibie";12.832
"Laos";12.503
"Nicaragua";12.222
"Brunei";11.786
"Mongolie";11.735
"Albanie";11.543
"Burkina Faso";11.009
"Tchad";10.894
"Armenie";10.571
"Macedoine";9.922
"Malte";9.761
"Madagascar";9.737
"Guinee equatoriale";9.403
"Congo republique";8.878
"Bahamas";8.705
"Haiti";8.618
"Benin";8.471
"Rwanda";8.267
"Nouvelle caledonie";8.008
"Tadjikistan";7.816
"Polynesie francaise";7.150
"Niger";7.150
"Guinee";6.696
"Kirghizistan";6.650
"Malawi";6.416
"Moldavie";6.414
"Kosovo";6.355
"Somalie";5.800
"Bailliage de Jersey";5.771
"Curacao";5.600
"Monaco";5.320
"Suriname";5.192
"Vierges britanniques";5.075
"Fidji";4.782
"Mauritanie";4.752
"Erythree";4.666
"Barbade";4.412
"Liechtenstein";5.113
"Andorre";4.800
"Guam";4.600
"Sierra Leone";4.167
"Togo";4.165
"Man ile";4.076
"Montenegro";4.039
"Swaziland";4.028
"Guyana";3.164
"Maldives";3.130
"Burundi";2.881
"Bailliage de Guernesey";2.742
"Soudan du Sud";2.627
"Timor oriental";2.620
"Aruba";2.516
"Feroe";2.320
"Caimans";2.250
"Bhoutan";2.214
"Groenland";2.160
"Liberia";2.035
"Lesotho";2.032
"Gibraltar";1.850
"Belize";1.763
"Djibouti";1.727
"centrafricaine republique";1.605
"Cap vert";1.595
"Saint marin";1.566
"Sainte lucie";1.416
"Seychelles";1.375
"Mariannes du nord";1.322
"Antigua et barbuda";1.287
"Salomon (pays)";1.147
"Guinee bissau";1.057
"Grenade (pays)";0.954
"Saint christophe et nieves";0.896
"Gambie";0.893
"Samoa";0.838
"Vanuatu";0.765
"Saint martin";0.794
"Saint vincent et les grenadines";0.757
"Samoa americaines";0.748
"Comores (pays)";0.589
"Dominique (pays)";0.497
"Tonga";0.414
"Micronesie";0.318
"Sao tome et principe";0.318
"Palaos";0.287
"Cook";0.244
"Vatican";0.200
"Marshall iles";0.183
"Anguilla";0.175
"Kiribati";0.162
"Malouines";0.164
"Nauru";0.150
"Tuvalu";0.033
"Niue";0.010
